project,date,drivers,samples,boards,maintainers,loc,numberOfCommits,numberOfCommitsPastMonth,numberOfUniqueContributorsPastMonth
chibi-os,2015-11-30,,,75,,1027548,5767,99,3
chibi-os,2015-12-31,,,76,,1116233,5854,87,2
chibi-os,2016-01-31,,,76,,1118512,5911,57,4
chibi-os,2016-02-29,,,77,,1135000,6004,93,3
chibi-os,2016-03-31,,,79,,1164655,6137,133,6
chibi-os,2016-04-30,,,82,,1183572,6274,137,5
chibi-os,2016-05-31,,,92,,1279090,6393,119,6
chibi-os,2016-06-30,,,94,,1499104,6491,98,3
chibi-os,2016-07-31,,,94,,1500398,6526,35,4
chibi-os,2016-08-31,,,94,,1497766,6541,15,3
chibi-os,2016-09-30,,,94,,1507051,6596,55,3
chibi-os,2016-10-31,,,94,,1571948,6641,45,6
chibi-os,2016-11-30,,,98,,1585027,6675,34,5
chibi-os,2016-12-31,,,98,,1589340,6710,35,4
chibi-os,2017-01-31,,,99,,1595914,6763,53,7
chibi-os,2017-02-28,,,99,,1598253,6791,28,2
chibi-os,2017-03-31,,,99,,1597919,6808,17,3
chibi-os,2017-04-30,,,99,,1599903,6852,44,5
chibi-os,2017-05-31,,,99,,1601931,6875,23,4
chibi-os,2017-06-30,,,99,,1604072,6890,15,5
chibi-os,2017-07-31,,,101,,2353719,6941,51,7
chibi-os,2017-08-31,,,102,,2367634,7076,135,7
chibi-os,2017-09-30,,,102,,2478310,7237,161,9
chibi-os,2017-10-31,,,102,,2649074,7381,144,6
chibi-os,2017-11-30,,,102,,2660477,7523,142,7
chibi-os,2017-12-31,,,105,,2717008,7629,106,6
chibi-os,2018-01-31,,,108,,2742866,7829,200,7
chibi-os,2018-02-28,,,108,,2763662,7971,142,10
chibi-os,2018-03-31,,,106,,2814593,8185,214,9
chibi-os,2018-04-30,,,106,,2838359,8266,81,5
chibi-os,2018-05-31,,,107,,2850915,8320,54,5
chibi-os,2018-06-30,,,107,,2876675,8368,48,5
chibi-os,2018-07-31,,,108,,2885101,8417,49,3
chibi-os,2018-08-31,,,108,,2884899,8428,11,2
chibi-os,2018-09-30,,,110,,2908211,8487,59,5
chibi-os,2018-10-31,,,111,,2919336,8556,69,3
chibi-os,2018-11-30,,,111,,2935711,8598,42,3
chibi-os,2018-12-31,,,111,,2943048,8649,51,4
chibi-os,2019-01-31,,,114,,2872137,8721,72,5
chibi-os,2019-02-28,,,114,,2880787,8753,32,4
chibi-os,2019-03-31,,,114,,2882461,8759,6,2
chibi-os,2019-04-30,,,115,,2921657,8792,33,3
chibi-os,2019-05-31,,,115,,2921768,8828,36,2
chibi-os,2019-06-30,,,115,,2924426,8845,17,2
chibi-os,2019-07-31,,,116,,2930620,8876,31,3
chibi-os,2019-08-31,,,116,,2929989,8894,18,2
chibi-os,2019-09-30,,,118,,3069155,8972,78,3
chibi-os,2019-10-31,,,119,,3126542,9039,67,4
chibi-os,2019-11-30,,,119,,3132630,9078,39,2
chibi-os,2019-12-31,,,119,,3137082,9114,36,2
chibi-os,2020-01-31,,,120,,3468216,9171,57,4
chibi-os,2020-02-29,,,120,,3474000,9226,55,4
chibi-os,2020-03-31,,,122,,3497334,9319,93,3
chibi-os,2020-04-30,,,115,,3473601,9405,86,4
chibi-os,2020-05-31,,,115,,3607460,9433,28,4
chibi-os,2020-06-30,,,115,,3618098,9460,27,3
chibi-os,2020-07-31,,,115,,3631076,9507,47,3
chibi-os,2020-08-31,,,115,,3633352,9527,20,3
chibi-os,2020-09-30,,,116,,3647216,9576,49,4
chibi-os,2020-10-31,,,117,,3652497,9585,9,4
chibi-os,2020-11-30,,,119,,3704542,9614,29,3
chibi-os,2020-12-31,,,119,,3717593,9659,45,3
chibi-os,2021-01-31,,,119,,3756019,9674,15,3
chibi-os,2021-02-28,,,119,,3756073,9686,12,2
chibi-os,2021-03-31,,,120,,3757565,9731,45,3
chibi-os,2021-04-30,,,121,,3822705,9939,208,4
chibi-os,2021-05-31,,,121,,3885938,10046,107,4
chibi-os,2021-06-30,,,121,,3882868,10160,114,5
chibi-os,2021-07-31,,,123,,3893038,10194,34,6
chibi-os,2021-08-31,,,123,,3892600,10261,67,6
chibi-os,2021-09-30,,,126,,4851079,10381,120,5
chibi-os,2021-10-31,,,126,,4862459,10493,112,4
chibi-os,2021-11-30,,,126,,4888663,10649,156,7
chibi-os,2021-12-31,,,126,,4901142,10767,118,2
chibi-os,2022-01-31,,,126,,4912906,10873,106,4
chibi-os,2022-02-28,,,126,,5064874,10913,40,3
chibi-os,2022-03-31,,,128,,5082392,10974,61,2
chibi-os,2022-04-30,,,129,,5148677,11015,41,2
chibi-os,2022-05-31,,,129,,5151084,11042,27,2
chibi-os,2022-06-30,,,130,,5153581,11061,19,2
chibi-os,2022-07-31,,,130,,5153819,11070,9,2
chibi-os,2022-08-31,,,130,,5159599,11105,35,3
chibi-os,2022-09-30,,,130,,5161898,11166,61,3
chibi-os,2022-10-31,,,130,,5162006,11184,18,3
chibi-os,2022-11-30,,,130,,5164756,11211,27,3
chibi-os,2022-12-31,,,130,,5168846,11272,61,3
chibi-os,2023-01-31,,,130,,5170997,11277,5,4
chibi-os,2023-02-28,,,130,,5174306,11287,10,4
chibi-os,2023-03-31,,,130,,5179278,11310,23,2
chibi-os,2023-04-30,,,130,,5220764,11343,33,3
chibi-os,2023-05-31,,,131,,5237886,11376,33,3
chibi-os,2023-06-30,,,131,,5243201,11401,25,2
chibi-os,2023-07-31,,,132,,5265009,11436,35,4
chibi-os,2023-08-31,,,133,,5363156,11461,25,2
chibi-os,2023-09-30,,,133,,5364126,11478,17,2
chibi-os,2023-10-31,,,133,,5365109,11484,6,2
chibi-os,2023-11-30,,,133,,5373166,11505,21,2
chibi-os,2023-12-31,,,133,,5373368,11524,19,2
chibi-os,2024-01-31,,,133,,5377575,11539,15,2
chibi-os,2024-02-29,,,133,,5708687,11547,8,4
chibi-os,2024-03-31,,,133,,5712148,11558,11,3
chibi-os,2024-04-30,,,133,,5714863,11579,21,4
chibi-os,2024-05-31,,,133,,5720131,11587,8,3
chibi-os,2024-06-30,,,133,,5720172,11590,3,3
chibi-os,2024-07-31,,,133,,5720172,11590,0,1
chibi-os,2024-08-31,,,133,,5720897,11607,17,2
chibi-os,2024-09-30,,,134,,5732904,11653,46,4
chibi-os,2024-10-31,,,134,,5767065,11751,98,4
chibi-os,2024-11-30,,,134,,5778355,11811,60,3
chibi-os,2024-12-31,,,134,,5779315,11883,72,4
chibi-os,2025-01-31,,,134,,5806456,11978,95,4
chibi-os,2025-02-28,,,135,,5849436,12022,44,3
chibi-os,2025-03-31,,,135,,5859253,12028,6,4
chibi-os,2025-04-30,,,135,,5861568,12038,10,4
chibi-os,2025-05-31,,,135,,5862031,12048,10,4
chibi-os,2025-06-30,,,135,,5866557,12067,19,3
chibi-os,2025-07-31,,,135,,5867014,12094,27,3
chibi-os,2025-08-31,,,135,,5870903,12114,20,2
chibi-os,2024-09-06,,,133,,5720897,11607,16,2
chibi-os,2025-08-06,,,135,,5868805,12107,32,3
chibi-os,2025-09-06,,,135,,5870903,12114,7,2
Apache NuttX,2015-09-30,1,,0,,549951,11895,63,8
Apache NuttX,2015-10-31,1,,0,,556699,11962,67,7
Apache NuttX,2015-11-30,1,,0,,566438,12116,154,12
Apache NuttX,2015-12-31,1,,0,,572607,12217,101,5
Apache NuttX,2016-01-31,1,,0,,579818,12372,155,14
Apache NuttX,2016-02-29,1,,0,,583395,12533,161,5
Apache NuttX,2016-03-31,1,,0,,585842,12617,84,9
Apache NuttX,2016-04-30,1,,121,,1999247,12760,143,14
Apache NuttX,2016-05-31,1,,124,,2016278,12933,173,19
Apache NuttX,2016-06-30,1,,126,,2069312,13319,386,27
Apache NuttX,2016-07-31,1,,127,,2105904,13592,273,23
Apache NuttX,2016-08-31,1,,128,,2133113,13808,216,17
Apache NuttX,2016-09-30,1,,129,,2138471,13860,52,16
Apache NuttX,2016-10-31,1,,131,,2207568,14025,165,19
Apache NuttX,2016-11-30,1,,133,,2227858,14254,229,19
Apache NuttX,2016-12-31,1,,130,,2222625,14461,207,16
Apache NuttX,2017-01-31,1,,130,,2230742,14614,153,12
Apache NuttX,2017-02-28,2,,133,,2256067,14819,205,17
Apache NuttX,2017-03-31,2,,136,,2299845,15176,357,35
Apache NuttX,2017-04-30,2,,138,,2305564,15417,241,29
Apache NuttX,2017-05-31,2,,142,,2376367,15574,157,22
Apache NuttX,2017-06-30,2,,142,,2396306,15763,189,25
Apache NuttX,2017-07-31,2,,145,,2459265,15950,187,25
Apache NuttX,2017-08-31,26,,146,,2498131,16205,255,26
Apache NuttX,2017-09-30,26,,147,,2528148,16365,160,26
Apache NuttX,2017-10-31,28,,147,,2549798,16587,222,14
Apache NuttX,2017-11-30,28,,147,,2560018,16794,207,18
Apache NuttX,2017-12-31,28,,150,,2602269,16936,142,13
Apache NuttX,2018-01-31,29,,152,,2622001,17074,138,21
Apache NuttX,2018-02-28,29,,152,,2635391,17197,123,20
Apache NuttX,2018-03-31,30,,153,,2666145,17326,129,16
Apache NuttX,2018-04-30,32,,154,,2693383,17494,168,31
Apache NuttX,2018-05-31,33,,154,,2710068,17638,144,18
Apache NuttX,2018-06-30,34,,155,,2718431,17805,167,17
Apache NuttX,2018-07-31,34,,156,,2763484,17963,158,20
Apache NuttX,2018-08-31,36,,157,,2798284,18265,302,30
Apache NuttX,2018-09-30,37,,157,,2822058,18416,151,20
Apache NuttX,2018-10-31,39,,159,,2837810,18526,110,20
Apache NuttX,2018-11-30,39,,161,,2885358,18811,285,27
Apache NuttX,2018-12-31,39,,167,,2924349,18970,159,19
Apache NuttX,2019-01-31,42,,168,,2983647,19219,249,27
Apache NuttX,2019-02-28,42,,168,,3000724,19360,141,16
Apache NuttX,2019-03-31,43,,170,,3043320,19562,202,26
Apache NuttX,2019-04-30,43,,171,,3072776,19680,118,26
Apache NuttX,2019-05-31,43,,172,,3106755,19822,142,22
Apache NuttX,2019-06-30,45,,175,,3187102,19976,154,24
Apache NuttX,2019-07-31,48,,176,,3219418,20136,160,30
Apache NuttX,2019-08-31,50,,238,,3290526,20410,274,32
Apache NuttX,2019-09-30,51,,240,,3298396,20572,162,29
Apache NuttX,2019-10-31,51,,246,,3372176,20721,149,27
Apache NuttX,2019-11-30,51,,250,,3400423,20938,217,29
Apache NuttX,2019-12-31,52,,255,,3422887,21067,129,27
Apache NuttX,2020-01-31,52,,256,,3438851,21252,185,38
Apache NuttX,2020-02-29,52,,260,,3462987,21543,291,28
Apache NuttX,2020-03-31,52,,266,,3512415,21914,371,40
Apache NuttX,2020-04-30,52,,267,,3538664,22275,361,34
Apache NuttX,2020-05-31,53,,208,,3548624,22627,352,34
Apache NuttX,2020-06-30,53,,210,,3573156,22879,252,30
Apache NuttX,2020-07-31,53,,211,,3599399,23086,207,27
Apache NuttX,2020-08-31,53,,213,,3616048,23325,239,34
Apache NuttX,2020-09-30,53,,214,,3649778,23608,283,39
Apache NuttX,2020-10-31,55,,214,,3676986,23905,297,41
Apache NuttX,2020-11-30,55,,214,,3700747,24730,825,43
Apache NuttX,2020-12-31,55,,221,,3738249,25175,445,40
Apache NuttX,2021-01-31,55,,221,,3748021,25411,236,30
Apache NuttX,2021-02-28,56,,223,,3767264,25630,219,34
Apache NuttX,2021-03-31,56,,227,,3778324,26153,523,46
Apache NuttX,2021-04-30,58,,229,,3812245,26601,448,38
Apache NuttX,2021-05-31,58,,232,,3840570,26840,239,44
Apache NuttX,2021-06-30,58,,237,,3941922,27117,277,44
Apache NuttX,2021-07-31,58,,236,,3963844,27492,375,49
Apache NuttX,2021-08-31,60,,238,,3970895,27770,278,35
Apache NuttX,2021-09-30,60,,236,,3992430,28053,283,44
Apache NuttX,2021-10-31,60,,236,,4005443,28232,179,37
Apache NuttX,2021-11-30,60,,238,,4023056,28449,217,43
Apache NuttX,2021-12-31,60,,241,,4051184,28737,288,47
Apache NuttX,2022-01-31,61,,246,,4144271,29096,359,34
Apache NuttX,2022-02-28,61,,248,,4182337,29514,418,39
Apache NuttX,2022-03-31,61,,247,,4212119,29971,457,43
Apache NuttX,2022-04-30,62,,247,,4220174,30368,397,44
Apache NuttX,2022-05-31,62,,249,,4262205,30634,266,38
Apache NuttX,2022-06-30,63,,252,,4303171,30862,228,46
Apache NuttX,2022-07-31,63,,265,,4436071,31188,326,39
Apache NuttX,2022-08-31,64,,269,,4469817,31488,300,54
Apache NuttX,2022-09-30,64,,273,,4511005,31740,252,48
Apache NuttX,2022-10-31,64,,274,,4548025,32118,378,55
Apache NuttX,2022-11-30,65,,279,,4562268,32514,396,48
Apache NuttX,2022-12-31,65,,282,,4632798,32899,385,47
Apache NuttX,2023-01-31,65,,284,,4701633,33378,479,83
Apache NuttX,2023-02-28,65,,286,,4738080,33734,356,62
Apache NuttX,2023-03-31,65,,295,,4791341,34056,322,49
Apache NuttX,2023-04-30,67,,296,,4858059,34339,283,50
Apache NuttX,2023-05-31,67,,300,,4904197,34733,394,64
Apache NuttX,2023-06-30,69,,302,,4952550,35001,268,53
Apache NuttX,2023-07-31,70,,306,,5022683,35407,406,69
Apache NuttX,2023-08-31,71,,316,,5077251,36036,629,102
Apache NuttX,2023-09-30,75,,322,,5195864,36512,476,102
Apache NuttX,2023-10-31,76,,326,,5225884,36840,328,53
Apache NuttX,2023-11-30,76,,328,,5251875,37093,253,50
Apache NuttX,2023-12-31,76,,331,,5321764,37288,195,47
Apache NuttX,2024-01-31,76,,333,,5326745,37475,187,47
Apache NuttX,2024-02-29,76,,335,,5368919,37664,189,48
Apache NuttX,2024-03-31,77,,340,,5410989,37942,278,52
Apache NuttX,2024-04-30,83,,342,,5452050,38200,258,58
Apache NuttX,2024-05-31,83,,343,,5490409,38394,194,48
Apache NuttX,2024-06-30,83,,344,,5507332,38606,212,57
Apache NuttX,2024-07-31,84,,346,,5555210,38829,223,54
Apache NuttX,2024-08-31,84,,348,,5596787,39409,580,101
Apache NuttX,2024-09-30,84,,351,,5682338,40329,920,112
Apache NuttX,2024-10-31,84,,353,,5721578,41435,1106,127
Apache NuttX,2024-11-30,84,,360,,5830991,42132,697,87
Apache NuttX,2024-12-31,84,,362,,5913637,42539,407,74
Apache NuttX,2025-01-31,88,,363,,5946405,42899,360,65
Apache NuttX,2025-02-28,89,,366,,5980906,43119,220,47
Apache NuttX,2025-03-31,90,,371,,6005809,43307,188,56
Apache NuttX,2025-04-30,91,,376,,6642852,43512,205,50
Apache NuttX,2025-05-31,92,,380,,6674375,43789,277,46
Apache NuttX,2025-06-30,92,,381,,6697158,43992,203,45
Apache NuttX,2025-07-31,93,,384,,6721962,44180,188,57
Apache NuttX,2025-08-31,94,,386,,6772441,44336,156,44
Apache NuttX,2024-09-06,84,,349,,5617697,39492,615,100
Apache NuttX,2025-08-06,93,,384,,6724711,44197,168,51
Apache NuttX,2025-09-06,94,,386,,6778457,44364,167,42
TizenRT,2015-09-30,,,,,,,,
TizenRT,2015-10-31,,,,,,,,
TizenRT,2015-11-30,,,,,,,,
TizenRT,2015-12-31,,,,,,,,
TizenRT,2016-01-31,,,,,,,,
TizenRT,2016-02-29,,,,,,,,
TizenRT,2016-03-31,,,,,,,,
TizenRT,2016-04-30,,,,,,,,
TizenRT,2016-05-31,,,,,,,,
TizenRT,2016-06-30,,,,,,,,
TizenRT,2016-07-31,,,,,,,,
TizenRT,2016-08-31,,,,,0,1,1,2
TizenRT,2016-09-30,,,,,0,1,0,1
TizenRT,2016-10-31,,,,,0,1,0,1
TizenRT,2016-11-30,,,,,0,1,0,1
TizenRT,2016-12-31,,,,,874675,10,9,6
TizenRT,2017-01-31,,,,,874680,17,7,6
TizenRT,2017-02-28,,,,,872675,29,12,6
TizenRT,2017-03-31,,,,,875233,48,19,10
TizenRT,2017-04-30,,,,,1122341,85,37,28
TizenRT,2017-05-31,,,,,1145678,141,56,41
TizenRT,2017-06-30,,,,,1702058,213,72,26
TizenRT,2017-07-31,,,,,1814436,262,49,38
TizenRT,2017-08-31,,,,,1831402,383,121,40
TizenRT,2017-09-30,,,,,2070995,595,212,48
TizenRT,2017-10-31,,,,,2076809,691,96,34
TizenRT,2017-11-30,,,,,2082929,799,108,48
TizenRT,2017-12-31,,,,,2096815,890,91,33
TizenRT,2018-01-31,,,,,2129330,949,59,32
TizenRT,2018-02-28,,,,,2136136,1010,61,26
TizenRT,2018-03-31,,,,,3056474,1087,77,30
TizenRT,2018-04-30,,,,,3741103,1236,149,45
TizenRT,2018-05-31,,,,,3894793,1416,180,39
TizenRT,2018-06-30,,,,,4019491,1503,87,29
TizenRT,2018-07-31,,,,,4025631,1578,75,37
TizenRT,2018-08-31,,,,,4143077,1701,123,33
TizenRT,2018-09-30,,,,,4156501,1827,126,38
TizenRT,2018-10-31,,,,,4158495,1908,81,41
TizenRT,2018-11-30,,,,,4166788,1961,53,26
TizenRT,2018-12-31,,,,,4180463,2006,45,24
TizenRT,2019-01-31,,,,,4644663,2068,62,30
TizenRT,2019-02-28,,,,,4694185,2085,17,30
TizenRT,2019-03-31,,,,,4919187,2100,15,32
TizenRT,2019-04-30,,,,,4999208,2143,43,42
TizenRT,2019-05-31,,,,,5087264,2211,68,42
TizenRT,2019-06-30,,,,,5109006,2264,53,40
TizenRT,2019-07-31,,,,,5142967,2295,31,32
TizenRT,2019-08-31,,,,,5151085,2362,67,30
TizenRT,2019-09-30,,,,,5190222,2508,146,39
TizenRT,2019-10-31,,,,,5435280,2704,196,34
TizenRT,2019-11-30,,,,,5455691,2802,98,25
TizenRT,2019-12-31,,,,,5474196,2863,61,23
TizenRT,2020-01-31,,,,,5487814,2940,77,21
TizenRT,2020-02-29,,,,,5489855,2980,40,18
TizenRT,2020-03-31,,,,,5652571,3017,37,20
TizenRT,2020-04-30,,,,,5652735,3036,19,9
TizenRT,2020-05-31,,,,,5656650,3106,70,14
TizenRT,2020-06-30,,,,,5659669,3166,60,18
TizenRT,2020-07-31,,,,,5658209,3226,60,16
TizenRT,2020-08-31,,,,,5658650,3285,59,11
TizenRT,2020-09-30,,,,,5659294,3372,87,13
TizenRT,2020-10-31,,,,,5659054,3427,55,13
TizenRT,2020-11-30,,,,,5674235,3494,67,15
TizenRT,2020-12-31,,,,,5677920,3631,137,17
TizenRT,2021-01-31,,,,,5679606,3686,55,14
TizenRT,2021-02-28,,,,,5726142,3780,94,19
TizenRT,2021-03-31,,,,,5730065,3869,89,18
TizenRT,2021-04-30,,,,,5734239,3912,43,15
TizenRT,2021-05-31,,,,,5734606,3945,33,13
TizenRT,2021-06-30,,,,,5736189,4029,84,24
TizenRT,2021-07-31,,,,,5782136,4106,77,18
TizenRT,2021-08-31,,,,,5784825,4170,64,16
TizenRT,2021-09-30,,,,,5770823,4236,66,16
TizenRT,2021-10-31,,,,,5773738,4312,76,17
TizenRT,2021-11-30,,,,,5777797,4418,106,19
TizenRT,2021-12-31,,,,,5779732,4516,98,18
TizenRT,2022-01-31,,,,,5781794,4621,105,24
TizenRT,2022-02-28,,,,,5784189,4651,30,14
TizenRT,2022-03-31,,,,,5785208,4688,37,10
TizenRT,2022-04-30,,,,,5790382,4716,28,14
TizenRT,2022-05-31,,,,,5790520,4723,7,6
TizenRT,2022-06-30,,,,,5792369,4745,22,11
TizenRT,2022-07-31,,,,,5796240,4757,12,7
TizenRT,2022-08-31,,,,,5964214,4770,13,9
TizenRT,2022-09-30,,,,,5965482,4786,16,7
TizenRT,2022-10-31,,,,,6556394,4802,16,10
TizenRT,2022-11-30,,,,,6555679,4820,18,9
TizenRT,2022-12-31,,,,,6500709,4839,19,10
TizenRT,2023-01-31,,,,,6501393,4872,33,13
TizenRT,2023-02-28,,,,,6518447,4895,23,11
TizenRT,2023-03-31,,,,,6564972,4924,29,14
TizenRT,2023-04-30,,,,,6500668,4945,21,13
TizenRT,2023-05-31,,,,,6591327,4963,18,10
TizenRT,2023-06-30,,,,,8563778,5004,41,16
TizenRT,2023-07-31,,,,,8565072,5034,30,13
TizenRT,2023-08-31,,,,,8593653,5056,22,12
TizenRT,2023-09-30,,,,,7286883,5104,48,14
TizenRT,2023-10-31,,,,,7287242,5130,26,11
TizenRT,2023-11-30,,,,,7280013,5165,35,15
TizenRT,2023-12-31,,,,,7454670,5191,26,12
TizenRT,2024-01-31,,,,,7465546,5234,43,15
TizenRT,2024-02-29,,,,,7464151,5278,44,14
TizenRT,2024-03-31,,,,,7466721,5314,36,15
TizenRT,2024-04-30,,,,,7528221,5362,48,17
TizenRT,2024-05-31,,,,,7650564,5445,83,17
TizenRT,2024-06-30,,,,,7776976,5525,80,14
TizenRT,2024-07-31,,,,,7774918,5590,65,20
TizenRT,2024-08-31,,,,,7830110,5647,57,23
TizenRT,2024-09-30,,,,,7890767,5714,67,28
TizenRT,2024-10-31,,,,,7892390,5762,48,21
TizenRT,2024-11-30,,,,,7896821,5826,64,25
TizenRT,2024-12-31,,,,,7903751,5900,74,21
TizenRT,2025-01-31,,,,,7906049,5975,75,26
TizenRT,2025-02-28,,,,,7907670,6012,37,19
TizenRT,2025-03-31,,,,,7910251,6056,44,19
TizenRT,2025-04-30,,,,,7906455,6112,56,20
TizenRT,2025-05-31,,,,,7907616,6154,42,19
TizenRT,2025-06-30,,,,,7926057,6175,21,13
TizenRT,2025-07-31,,,,,7931367,6216,41,14
TizenRT,2025-08-31,,,,,7943163,6253,37,16
TizenRT,2024-09-06,,,,,7827900,5670,75,27
TizenRT,2025-08-06,,,,,7942164,6223,47,16
TizenRT,2025-09-06,,,,,7941870,6264,41,20
Zephyr,2015-09-30,0,0,0,0,135402,4,0,1
Zephyr,2015-10-31,0,0,0,0,135402,4,0,1
Zephyr,2015-11-30,0,0,0,0,135402,4,0,1
Zephyr,2015-12-31,0,0,0,0,135402,4,0,1
Zephyr,2016-01-31,0,0,0,0,135402,4,0,1
Zephyr,2016-02-29,0,0,13,0,287826,5395,5391,74
Zephyr,2016-03-31,0,0,15,0,308942,5892,497,43
Zephyr,2016-04-30,0,0,16,0,330216,6368,476,44
Zephyr,2016-05-31,0,0,19,5,459920,6812,444,49
Zephyr,2016-06-30,0,0,20,20,507825,7161,349,45
Zephyr,2016-07-31,0,0,21,22,604098,7643,482,50
Zephyr,2016-08-31,0,0,21,28,617193,7889,246,37
Zephyr,2016-09-30,0,0,19,32,654171,8158,269,53
Zephyr,2016-10-31,0,0,25,34,678126,8809,651,51
Zephyr,2016-11-30,0,0,29,38,2179716,9447,638,60
Zephyr,2016-12-31,0,0,32,39,2188924,9773,326,58
Zephyr,2017-01-31,0,0,39,37,2511674,10051,278,58
Zephyr,2017-02-28,0,0,45,38,2646279,10359,308,69
Zephyr,2017-03-31,0,0,45,36,2640396,10515,156,61
Zephyr,2017-04-30,0,0,50,35,3129958,10848,333,57
Zephyr,2017-05-31,0,0,57,35,3675356,11285,437,52
Zephyr,2017-06-30,0,101,63,35,3691329,11791,506,52
Zephyr,2017-07-31,0,106,66,28,3768941,12228,437,44
Zephyr,2017-08-31,0,110,67,29,3743541,12817,589,52
Zephyr,2017-09-30,0,117,68,26,3937128,13202,385,49
Zephyr,2017-10-31,0,121,74,28,4873738,13875,673,60
Zephyr,2017-11-30,0,123,78,29,5391403,14634,759,63
Zephyr,2017-12-31,1,124,78,30,5404098,14976,342,43
Zephyr,2018-01-31,1,127,83,32,5612262,15502,526,61
Zephyr,2018-02-28,1,129,84,35,5666977,16089,587,65
Zephyr,2018-03-31,1,136,92,35,5946488,16599,510,69
Zephyr,2018-04-30,1,140,95,36,6039045,17100,501,63
Zephyr,2018-05-31,1,146,98,39,6104879,18054,954,77
Zephyr,2018-06-30,1,152,102,39,6206566,18632,578,88
Zephyr,2018-07-31,1,157,111,39,6490459,19326,694,90
Zephyr,2018-08-31,1,156,113,39,6519022,19954,628,87
Zephyr,2018-09-30,1,157,117,43,7344383,20544,590,83
Zephyr,2018-10-31,2,160,123,45,7568322,21478,934,102
Zephyr,2018-11-30,2,165,125,47,7652280,22311,833,102
Zephyr,2018-12-31,2,174,127,48,7693712,22980,669,94
Zephyr,2019-01-31,2,172,140,47,8467261,23839,859,109
Zephyr,2019-02-28,2,173,143,50,8535803,25261,1422,106
Zephyr,2019-03-31,2,175,144,56,8540130,26239,978,96
Zephyr,2019-04-30,2,175,151,62,9612351,26843,604,103
Zephyr,2019-05-31,2,180,159,64,9439673,27690,847,120
Zephyr,2019-06-30,1,182,161,66,5730090,28395,705,91
Zephyr,2019-07-31,1,184,157,68,5762835,29234,839,92
Zephyr,2019-08-31,1,187,161,71,1106906,29931,697,92
Zephyr,2019-09-30,40,188,170,71,1127704,30793,862,114
Zephyr,2019-10-31,44,199,174,73,1162909,31590,797,106
Zephyr,2019-11-30,57,201,178,73,1190486,32264,674,107
Zephyr,2019-12-31,59,209,181,75,1213033,32885,621,113
Zephyr,2020-01-31,62,211,189,79,1232496,33881,996,127
Zephyr,2020-02-29,64,216,193,80,1266943,34856,975,103
Zephyr,2020-03-31,72,220,200,84,1238995,35929,1073,126
Zephyr,2020-04-30,74,229,202,86,1271765,37086,1157,122
Zephyr,2020-05-31,75,242,209,89,1295648,38053,967,114
Zephyr,2020-06-30,75,243,214,90,1316128,38802,749,123
Zephyr,2020-07-31,78,244,222,38,1344271,39674,872,129
Zephyr,2020-08-31,79,248,230,38,1382865,40439,765,122
Zephyr,2020-09-30,80,254,234,38,1411427,41344,905,131
Zephyr,2020-10-31,81,258,242,38,1439485,42399,1055,147
Zephyr,2020-11-30,81,265,250,38,1467199,43144,745,127
Zephyr,2020-12-31,82,270,257,37,1496701,43976,832,126
Zephyr,2021-01-31,83,280,266,40,1563289,45049,1073,167
Zephyr,2021-02-28,85,285,267,39,1583598,45935,886,137
Zephyr,2021-03-31,86,296,274,39,1631863,47278,1343,167
Zephyr,2021-04-30,87,304,288,39,1683268,48368,1090,157
Zephyr,2021-05-31,91,311,295,42,1734619,49709,1341,159
Zephyr,2021-06-30,91,313,297,42,1755580,50448,739,157
Zephyr,2021-07-31,101,325,305,44,1808371,51418,970,153
Zephyr,2021-08-31,105,326,309,47,1855492,52666,1248,144
Zephyr,2021-09-30,106,328,316,50,1882805,53365,699,155
Zephyr,2021-10-31,106,328,321,54,1925939,54040,675,140
Zephyr,2021-11-30,106,334,325,56,2010849,55159,1119,165
Zephyr,2021-12-31,109,337,332,57,2043916,55916,757,147
Zephyr,2022-01-31,111,344,339,57,2089567,56956,1040,138
Zephyr,2022-02-28,112,345,343,55,2108552,57849,893,149
Zephyr,2022-03-31,113,347,356,58,2178661,59413,1564,209
Zephyr,2022-04-30,114,352,358,67,2214372,60598,1185,170
Zephyr,2022-05-31,116,355,360,68,2194338,61598,1000,165
Zephyr,2022-06-30,116,353,369,72,2217223,62763,1165,189
Zephyr,2022-07-31,116,363,378,76,2245101,64478,1715,198
Zephyr,2022-08-31,117,366,386,78,2281097,66121,1643,204
Zephyr,2022-09-30,118,370,388,80,2320773,67384,1263,183
Zephyr,2022-10-31,120,374,396,82,2362876,68483,1099,186
Zephyr,2022-11-30,120,388,401,83,2417417,69542,1059,183
Zephyr,2022-12-31,123,395,410,84,2471850,70382,840,161
Zephyr,2023-01-31,127,401,419,83,2522119,71565,1183,190
Zephyr,2023-02-28,131,403,424,87,2563302,72482,917,208
Zephyr,2023-03-31,134,407,430,88,2646816,73859,1377,240
Zephyr,2023-04-30,145,417,436,89,2719870,75243,1384,236
Zephyr,2023-05-31,152,424,443,91,2802209,76670,1427,240
Zephyr,2023-06-30,155,428,446,93,2836428,77679,1009,183
Zephyr,2023-07-31,158,433,458,94,2898468,78895,1216,228
Zephyr,2023-08-31,160,434,464,98,2959490,80259,1364,239
Zephyr,2023-09-30,166,439,472,100,3046516,81888,1629,258
Zephyr,2023-10-31,170,436,475,105,3125422,83264,1376,229
